year,month,city,searched
2011,6,上海,975262
2011,7,上海,1037059
2011,8,上海,967518
2011,9,上海,935776
2011,10,上海,938341
2011,11,上海,897958
2011,12,上海,917396
2012,1,上海,870904
2012,2,上海,994860
2012,3,上海,1078766
2012,4,上海,1053814
2012,5,上海,1049569
2012,6,上海,1032962
2012,7,上海,1098044
2012,8,上海,1036235
2012,9,上海,917975
2012,10,上海,902997
2012,11,上海,829223
2012,12,上海,827473
2013,1,上海,810346
2013,2,上海,742572
2013,3,上海,888642
2013,4,上海,961896
2013,5,上海,897601
2013,6,上海,847474
2013,7,上海,1790620
2013,8,上海,1782536
2013,9,上海,1626794
2013,10,上海,1652782
2013,11,上海,1443728
2013,12,上海,1496663
2014,1,上海,1483834
2014,2,上海,1515484
2014,3,上海,1616530
2014,4,上海,1620583
2014,5,上海,1679065
2014,6,上海,1631600
2014,7,上海,1821569
2014,8,上海,1924231
2014,9,上海,1791369
2014,10,上海,1819857
2014,11,上海,1670183
2014,12,上海,1745362
2015,1,上海,1994194
2015,2,上海,1543700
2015,3,上海,1944485
2015,4,上海,1815114
2015,5,上海,1782425
2015,6,上海,1925608
2015,7,上海,2175730
2015,8,上海,2083193
2015,9,上海,1760397
2015,10,上海,1779827
2015,11,上海,1708032
2015,12,上海,1749578
2016,1,上海,1738409
2016,2,上海,1587440
2016,3,上海,1814827
2016,4,上海,1691747
2016,5,上海,1852606
2016,6,上海,1850372
2016,7,上海,1964196
2016,8,上海,1864193
2016,9,上海,1675129
2016,10,上海,1727367
2016,11,上海,1565984
2016,12,上海,1718998
2017,1,上海,1666701
2017,2,上海,1657216
2017,3,上海,2005958
2017,4,上海,1876533
2017,5,上海,2007114
2017,6,上海,2217826
2017,7,上海,2515967
2017,8,上海,2342977
2017,9,上海,2096036
2017,10,上海,1973528
2017,11,上海,1785803
2017,12,上海,1823719
2018,1,上海,2005996
2018,2,上海,1761941
2018,3,上海,2125672
2018,4,上海,2119763
2018,5,上海,2149045
2018,6,上海,2089340
2018,7,上海,2339558
2018,8,上海,2237979
2018,9,上海,1688866
2018,10,上海,1988538
2018,11,上海,1851690
2018,12,上海,1672085
2019,1,上海,1671574
2019,2,上海,1424724
2019,3,上海,1558141
2019,4,上海,1603384
2019,5,上海,1780213
2019,6,上海,1527592
2019,7,上海,1635667
2019,8,上海,1530187
2019,9,上海,1240805
2019,10,上海,1347277
2019,11,上海,1394308
2019,12,上海,1242188
2020,1,上海,1203801
2020,2,上海,1266689
2020,3,上海,1253423
2020,4,上海,1179106
2020,5,上海,2294763
2020,6,上海,1558748
2020,7,上海,2715462
2020,8,上海,2924542
2020,9,上海,1703334
2020,10,上海,2167131
2020,11,上海,1758629
2020,12,上海,1629219
2021,1,上海,1783799
2021,2,上海,1412534
2021,3,上海,1679085
2021,4,上海,1690454
2021,5,上海,1703832
2021,6,上海,1733576
2021,7,上海,1935626
2021,8,上海,1698488
2021,9,上海,1582921
2021,10,上海,1609232
2021,11,上海,1524397
2021,12,上海,1503658
2022,1,上海,1570502
2022,2,上海,1496105
2022,3,上海,2344841
2022,4,上海,4252391
2022,5,上海,2386465
2022,6,上海,1775632
2022,7,上海,1684912
2022,8,上海,1567662
2022,9,上海,1416423
2022,10,上海,1461565
2022,11,上海,1527256
2022,12,上海,1459784
2023,1,上海,1661906
2023,2,上海,1459205
2023,3,上海,1485634
2023,4,上海,1513743
2023,5,上海,1471932
2023,6,上海,1546870
2023,7,上海,1715791
2023,8,上海,1679401
2023,9,上海,1474070
2023,10,上海,1447054
2023,11,上海,1240333
2023,12,上海,1298413
2011,1,上饶,174486
2011,2,上饶,153226
2011,3,上饶,190064
2011,4,上饶,189204
2011,5,上饶,190784
2011,6,上饶,215786
2011,7,上饶,217715
2011,8,上饶,218723
2011,9,上饶,205489
2011,10,上饶,193115
2011,11,上饶,186076
2011,12,上饶,184854
2012,1,上饶,180601
2012,2,上饶,199562
2012,3,上饶,258283
2012,4,上饶,220803
2012,5,上饶,218701
2012,6,上饶,216540
2012,7,上饶,212953
2012,8,上饶,200490
2012,9,上饶,165687
2012,10,上饶,166194
2012,11,上饶,153376
2012,12,上饶,151124
2013,1,上饶,161841
2013,2,上饶,134972
2013,3,上饶,178042
2013,4,上饶,164958
2013,5,上饶,162630
2013,6,上饶,160861
2013,7,上饶,304697
2013,8,上饶,291646
2013,9,上饶,265571
2013,10,上饶,287108
2013,11,上饶,280916
2013,12,上饶,238198
2014,1,上饶,256149
2014,2,上饶,254980
2014,3,上饶,312960
2014,4,上饶,306694
2014,5,上饶,291116
2014,6,上饶,286650
2014,7,上饶,305948
2014,8,上饶,336383
2014,9,上饶,309384
2014,10,上饶,317854
2014,11,上饶,285200
2014,12,上饶,306373
2015,1,上饶,299121
2015,2,上饶,272325
2015,3,上饶,361824
2015,4,上饶,341652
2015,5,上饶,330657
2015,6,上饶,378992
2015,7,上饶,443794
2015,8,上饶,428558
2015,9,上饶,409704
2015,10,上饶,370091
2015,11,上饶,355885
2015,12,上饶,337860
2016,1,上饶,408366
2016,2,上饶,340550
2016,3,上饶,435823
2016,4,上饶,390253
2016,5,上饶,388130
2016,6,上饶,416574
2016,7,上饶,430047
2016,8,上饶,426757
2016,9,上饶,422389
2016,10,上饶,425196
2016,11,上饶,390477
2016,12,上饶,441081
2017,1,上饶,412153
2017,2,上饶,404089
2017,3,上饶,460754
2017,4,上饶,409760
2017,5,上饶,405805
2017,6,上饶,454634
2017,7,上饶,522096
2017,8,上饶,620768
2017,9,上饶,459658
2017,10,上饶,461410
2017,11,上饶,401681
2017,12,上饶,390852
2018,1,上饶,432155
2018,2,上饶,428870
2018,3,上饶,527955
2018,4,上饶,500129
2018,5,上饶,478493
2018,6,上饶,444012
2018,7,上饶,495034
2018,8,上饶,474856
2018,9,上饶,407375
2018,10,上饶,558882
2018,11,上饶,489238
2018,12,上饶,462460
2019,1,上饶,478540
2019,2,上饶,488988
2019,3,上饶,556324
2019,4,上饶,569031
2019,5,上饶,643197
2019,6,上饶,513872
2019,7,上饶,471087
2019,8,上饶,496586
2019,9,上饶,411915
2019,10,上饶,408873
2019,11,上饶,349082
2019,12,上饶,382981
2020,1,上饶,436257
2020,2,上饶,460673
2020,3,上饶,420789
2020,4,上饶,405533
2020,5,上饶,408032
2020,6,上饶,388304
2020,7,上饶,513308
2020,8,上饶,507488
2020,9,上饶,431566
2020,10,上饶,435338
2020,11,上饶,426758
2020,12,上饶,391623
2021,1,上饶,404477
2021,2,上饶,388531
2021,3,上饶,452861
2021,4,上饶,414103
2021,5,上饶,441871
2021,6,上饶,453116
2021,7,上饶,504726
2021,8,上饶,454852
2021,9,上饶,443295
2021,10,上饶,451947
2021,11,上饶,632349
2021,12,上饶,382413
2022,1,上饶,444696
2022,2,上饶,437023
2022,3,上饶,444566
2022,4,上饶,442478
2022,5,上饶,419780
2022,6,上饶,480634
2022,7,上饶,470598
2022,8,上饶,450926
2022,9,上饶,385062
2022,10,上饶,361974
2022,11,上饶,395673
2022,12,上饶,384002
2023,1,上饶,498150
2023,2,上饶,421302
2023,3,上饶,458023
2023,4,上饶,480258
2023,5,上饶,425258
2023,6,上饶,459516
2023,7,上饶,548141
2023,8,上饶,505400
2023,9,上饶,451021
2023,10,上饶,446801
2023,11,上饶,367201
2023,12,上饶,384426
2011,1,东方,503604
2011,2,东方,473219
2011,3,东方,912431
2011,4,东方,1703476
2011,5,东方,776404
2011,6,东方,669212
2011,7,东方,907281
2011,8,东方,713073
2011,9,东方,659352
2011,10,东方,573692
2011,11,东方,506618
2011,12,东方,508663
2012,1,东方,541645
2012,2,东方,488268
2012,3,东方,581862
2012,4,东方,500718
2012,5,东方,496366
2012,6,东方,490008
2012,7,东方,523201
2012,8,东方,549861
2012,9,东方,446197
2012,10,东方,475740
2012,11,东方,426631
2012,12,东方,407805
2013,1,东方,426173
2013,2,东方,412811
2013,3,东方,389507
2013,4,东方,370742
2013,5,东方,408001
2013,6,东方,410009
2013,7,东方,630361
2013,8,东方,697055
2013,9,东方,765258
2013,10,东方,715303
2013,11,东方,555361
2013,12,东方,557377
2014,1,东方,607552
2014,2,东方,568299
2014,3,东方,610312
2014,4,东方,546762
2014,5,东方,615904
2014,6,东方,603082
2014,7,东方,665907
2014,8,东方,751151
2014,9,东方,624271
2014,10,东方,831855
2014,11,东方,656000
2014,12,东方,681051
2015,1,东方,681144
2015,2,东方,636092
2015,3,东方,654673
2015,4,东方,663834
2015,5,东方,729528
2015,6,东方,890163
2015,7,东方,985814
2015,8,东方,938158
2015,9,东方,802334
2015,10,东方,1025752
2015,11,东方,670142
2015,12,东方,683526
2016,1,东方,683007
2016,2,东方,629565
2016,3,东方,604247
2016,4,东方,566006
2016,5,东方,595957
2016,6,东方,607243
2016,7,东方,692266
2016,8,东方,964387
2016,9,东方,646153
2016,10,东方,653421
2016,11,东方,606717
2016,12,东方,641265
2017,1,东方,632428
2017,2,东方,639783
